ID,Completo sphericity,Completo lobation,Completo rectangularity,Completo compactness,Completo enlongation ,Completo roundness,Completo eccentricity,Completo Hu 1,Completo Hu 2,Completo Hu 3,Completo Hu 4,Completo Hu 5,Completo Hu 6,Completo Hu 7,Metasoma Spherity,Metasoma lobation,Metasoma rectangularity,Metasoma compactness,Metasoma enlongation,Metasoma roundness,Metosoma eccentricity,Metasoma Hu 1,Metasoma Hu 2,Metasoma Hu 3,Metasoma Hu 4,Metasoma Hu 5,Metasoma Hu 6,Metasoma Hu 7,Mesosoma Spherity,Mesosoma lobation,Mesosoma rectangularity,Mesosoma compactness,Mesosoma enlongation,Mesosoma roundness,Mesosoma eccentricity,Mesosoma Hu 1,Mesosoma Hu 2,Mesosoma Hu 3,Mesosoma Hu 4,Mesosoma Hu 5,Mesosoma Hu 6,Mesosoma Hu 7,PinzasyQuelasI Spherity,PinzasyQuelasI lobation,PinzasyQuelasI rectangularity,PinzasyQuelasI compactness,PinzasyQuelasI enlongation,PinzasyQuelasI roundness,PinzasyQuelasI eccentricity,PinzasyQuelasI Hu 1,PinzasyQuelasI Hu 2,PinzasyQuelasI Hu 3,PinzasyQuelasI Hu 4,PinzasyQuelasI Hu 5,PinzasyQuelasI Hu 6,PinzasyQuelasI Hu 7,PinzasyQuelasD Spherity,PinzasyQuelasD lobation,PinzasyQuelasD rectangularity,PinzasyQuelasD compactness,PinzasyQuelasD enlongation,PinzasyQuelasD roundness,PinzasyQuelasD eccentricity,PinzasyQuelasD Hu 1,PinzasyQuelasD Hu 2,PinzasyQuelasD Hu 3,PinzasyQuelasD Hu 4,PinzasyQuelasD Hu 5,PinzasyQuelasD Hu 6,PinzasyQuelasD Hu 7,Borde Completo sphericity,Borde Completo lobation,Borde Completo rectangularity,Borde Completo compactness,Borde Completo enlongation ,Borde Completo roundness,Borde Completo eccentricity,Borde Completo Hu 1,Borde Completo Hu 2,Borde Completo Hu 3,Borde Completo Hu 4,Borde Completo Hu 5,Borde Completo Hu 6,Borde Completo Hu 7,Borde Metasoma Spherity,Borde Metasoma lobation,Borde Metasoma rectangularity,Borde Metasoma compactness,Borde Metasoma enlongation,Borde Metasoma roundness, Borde Metasoma eccentricity,Borde Metasoma Hu 1,Borde Metasoma Hu 2,Borde Metasoma Hu 3,Borde Metasoma Hu 4,Borde Metasoma Hu 5,Borde Metasoma Hu 6,Borde Metasoma Hu 7,Borde Mesosoma Spherity,Borde Mesosoma lobation,Borde Mesosoma rectangularity,Borde Mesosoma compactness,Borde Mesosoma enlongation,Borde Mesosoma roundness,Borde Mesosoma eccentricity,Borde Mesosoma Hu 1,Borde Mesosoma Hu 2,Borde Mesosoma Hu 3,Borde Mesosoma Hu 4,Borde Mesosoma Hu 5,Borde Mesosoma Hu 6,Borde Mesosoma Hu 7,Borde PinzasyQuelasI Spherity,Borde PinzasyQuelasI lobation,Borde PinzasyQuelasI rectangularity,Borde PinzasyQuelasI compactness,Borde PinzasyQuelasI enlongation,Borde PinzasyQuelasI roundness,Borde PinzasyQuelasI eccentricity,Borde PinzasyQuelasI Hu 1,Borde PinzasyQuelasI Hu 2,Borde PinzasyQuelasI Hu 3,Borde PinzasyQuelasI Hu 4,Borde PinzasyQuelasI Hu 5,Borde PinzasyQuelasI Hu 6,Borde PinzasyQuelasI Hu 7,Borde PinzasyQuelasD Spherity,Borde PinzasyQuelasD lobation,Borde PinzasyQuelasD rectangularity,Borde PinzasyQuelasD compactness,Borde PinzasyQuelasD enlongation,Borde PinzasyQuelasD roundness,Borde PinzasyQuelasD eccentricity,Borde PinzasyQuelasD Hu 1,Borde PinzasyQuelasD Hu 2,Borde PinzasyQuelasD Hu 3,Borde PinzasyQuelasD Hu 4,Borde PinzasyQuelasD Hu 5,Borde PinzasyQuelasD Hu 6,Borde PinzasyQuelasD Hu 7,tipo
1,0.38931,0.77861,1.4638,0.04566,0.38931,0.045348,0.92111,0.50492,0.13805,0.10177,0.039065,0.0024624,0.014495,5.8575e-05,0.10912,0.21824,2.8477,0.18642,0.10912,0.024728,0.99403,0.80954,0.56255,0.042376,0.014235,0.0003254,0.01033,0.00012785,0.89644,1.7929,2.3669,0.11304,0.89644,0.16884,0.44317,0.21476,0.00033826,0.0019102,4.6069e-05,4.7932e-09,6.6585e-07,-1.2798e-08,0.52583,1.0517,1.9569,0.17069,0.52583,0.081887,0.85059,0.31012,0.030897,0.0032613,0.0037029,1.1703e-05,0.00046688,5.35e-06,0.40748,0.81495,1.5889,0.2495,0.40748,0.051522,0.91322,0.45025,0.1037,0.043717,0.024083,0.00077962,0.0077551,-5.2915e-05,0.47472,0.94944,0.1173,0.0065813,0.47472,0.0044311,0.88014,5.2244,10.694,72.05,22.098,880.19,69.009,-52.507,0.16118,0.32236,0.20131,0.0068559,0.16118,0.0025821,0.98692,7.1162,34.103,94.4,25.71,1194.1,140.42,422.51,0.67094,1.3419,0.14252,0.048037,0.67094,0.0076096,0.74151,3.7913,2.0664,8.5454,0.62508,1.3811,0.37027,-0.42367,0.52546,1.0509,0.12469,0.017923,0.52546,0.0052139,0.85082,2.6534,0.32593,6.992,1.3475,-3.0082,-0.61558,-2.8386,0.43184,0.86368,0.21107,0.02038,0.43184,0.0072533,0.90195,2.3082,1.6499,6.972,1.0302,1.9978,1.0364,-1.9056,1111
2,0.4266,0.8532,1.441,0.040715,0.4266,0.048917,0.90444,0.4807,0.11059,0.064215,0.011173,0.00020152,0.0022037,0.00022126,0.14101,0.28202,2.5123,0.23848,0.14101,0.02819,0.99001,0.7064,0.4072,0.040915,0.013616,0.00027978,0.0074768,0.00015811,0.75952,1.519,2.3879,0.065831,0.75952,0.14433,0.65049,0.21755,0.0034092,0.00056711,6.4327e-05,1.2285e-08,-1.7412e-06,-2.1116e-10,0.28747,0.57494,1.1766,0.16864,0.28747,0.026916,0.95779,1.3102,0.71741,0.59627,1.0171,0.72302,0.43482,-0.32332,0.60296,1.2059,1.0924,0.17264,0.60296,0.052416,0.79777,0.51753,0.058352,0.056418,0.015092,-0.00033657,-0.002464,-0.00028399,0.55532,1.1106,0.11026,0.0050203,0.55532,0.0048726,0.83164,5.0696,7.1226,53.622,10.401,152.96,9.4754,192.18,0.21361,0.42723,0.14659,0.0070282,0.21361,0.0024919,0.97692,7.4374,34.777,104.27,26.123,1270.3,134.84,495.13,0.73788,1.4758,0.15148,0.017252,0.73788,0.0088946,0.67493,3.4545,1.0381,2.6415,0.52068,-0.28378,-0.52624,-0.54068,0.25715,0.51431,0.11594,0.018569,0.25715,0.0023726,0.96637,8.3921,16.878,136.4,167.65,25353,352.62,-187.82,0.51683,1.0337,0.11586,0.020115,0.51683,0.004765,0.85609,3.3855,3.5381,7.2815,1.556,-5.1139,-2.4436,1.1309,1111
3,0.44901,0.89802,1.4039,0.035822,0.44901,0.050164,0.89353,0.47614,0.099925,0.062864,0.012166,0.00029508,0.0035191,-0.00016162,0.1475,0.29501,2.4556,0.2338,0.1475,0.028824,0.98906,0.74155,0.43054,0.058865,0.0074211,3.6547e-05,0.0023198,0.00015074,0.87753,1.7551,2.319,0.058752,0.87753,0.16194,0.47952,0.21781,0.00076877,8.4258e-05,2.5322e-06,-2.2172e-11,-5.0959e-08,2.9606e-11,0.41971,0.83941,1.1765,0.21975,0.41971,0.039293,0.90766,0.5955,0.17399,0.086578,0.013065,-0.00013365,-0.0037415,-0.00041857,0.31494,0.62989,1.1102,0.13659,0.31494,0.027824,0.94911,0.94049,0.57932,0.67466,0.29802,0.12354,0.1317,0.050934,0.58351,1.167,0.10975,0.0044965,0.58351,0.005096,0.81211,4.8057,5.5936,55.758,15.811,456.23,36.405,-110.55,0.082704,0.16541,0.20133,0.013398,0.082704,0.001325,0.99657,9.9443,61.386,268.47,22.042,-530.25,-150.18,-1610.6,0.79173,1.5835,0.16444,0.073301,0.79173,0.01036,0.61087,3.1239,0.51346,0.41722,0.38845,-0.12256,-0.24587,-0.097128,0.45313,0.90626,0.10687,0.019625,0.45313,0.0038537,0.89144,3.9527,5.0404,33.197,5.6818,-18.15,-8.6597,-75.894,0.28786,0.57573,0.13853,0.014437,0.28786,0.0031733,0.95767,5.4075,17.967,113.62,29.58,1169.3,33.848,1254.4,1111
4,0.43161,0.86321,1.5619,0.043102,0.43161,0.053647,0.90206,0.43983,0.090872,0.078066,0.037478,0.0020267,0.011281,-4.2955e-05,0.14941,0.29882,2.4487,0.20619,0.14941,0.029115,0.98878,0.74051,0.4385,0.022768,0.0064012,5.1611e-05,-0.0010714,-5.7517e-05,0.90642,1.8128,2.1883,0.058965,0.90642,0.15785,0.42237,0.22958,0.00050543,0.0013765,1.1341e-05,-1.3345e-09,-1.3269e-07,-4.7637e-10,0.083039,0.16608,2.8966,0.16887,0.083039,0.019141,0.99655,1.0464,1.0654,0.040882,0.031813,0.0011463,0.030957,-4.824e-05,0.21522,0.43045,2.742,0.36123,0.21522,0.046962,0.97656,2.0656,2.578,37.356,33.482,1184,52.491,14.436,0.61526,1.2305,0.13798,0.005649,0.61526,0.0067554,0.78832,3.7813,2.9693,27.849,11.699,204.06,20.05,54.319,0.22711,0.45423,0.17537,0.0066858,0.22711,0.0031694,0.97387,7.4114,35.234,41.448,8.2897,148.17,-0.65651,-40.693,0.79729,1.5946,0.19524,0.039773,0.79729,0.012387,0.6036,2.6269,0.34237,0.033745,0.11377,0.0020406,0.06276,-0.0067473,0.07003,0.14006,1.4729,0.098056,0.07003,0.0082085,0.99754,2.4353,5.8165,0.32838,0.037897,-0.0037359,-0.084398,-0.001979,0.29122,0.58245,0.63887,0.043574,0.29122,0.014806,0.95665,6.3421,25.542,683.72,553.26,3.4015e+05,2711.4,-9302.5,1111
5,0.41763,0.83526,1.4279,0.038948,0.41763,0.047455,0.90862,0.49605,0.1226,0.088001,0.017278,0.00058236,0.0047577,0.00033875,0.15409,0.30818,2.3616,0.17989,0.15409,0.028958,0.98806,0.71646,0.4041,0.091288,0.032265,0.0016055,0.018654,0.00069884,0.73436,1.4687,2.4543,0.07505,0.73436,0.14342,0.67876,0.21355,0.0040607,4.7601e-05,3.7504e-06,-2.1585e-11,5.002e-08,-4.5222e-11,0.30546,0.61093,1.06,0.11185,0.30546,0.025767,0.9522,0.84352,0.48909,0.28551,0.063593,0.0037359,0.0017471,-0.0077117,0.39162,0.78324,2.3412,0.26575,0.39162,0.072962,0.92013,0.74207,0.14208,0.8993,0.48984,0.29019,0.1518,0.14658,0.51047,1.0209,0.123,0.0054301,0.51047,0.0049966,0.8599,4.3743,6.7045,50.928,11.586,273.99,27.48,64.38,0.19552,0.39105,0.1632,0.0064588,0.19552,0.0025393,0.9807,7.3919,36.99,104.72,14.778,358.36,58.052,457.77,0.74517,1.4903,0.21223,0.11983,0.74517,0.012585,0.66687,2.4585,0.4942,0.52848,0.047204,0.0074004,0.033097,-0.00090586,0.26848,0.53695,0.15581,0.01146,0.26848,0.0033288,0.96329,4.5503,12.823,42.314,8.4756,76.241,5.1345,-141.25,0.44215,0.88429,0.35105,0.021467,0.44215,0.012352,0.89694,3.2834,1.9056,52.04,30.471,1201.6,34.925,168.92,1111
6,0.39003,0.78006,1.3636,0.035907,0.39003,0.042324,0.9208,0.52232,0.13987,0.070862,0.014792,0.00044417,0.0048493,-0.00017901,0.12384,0.24768,2.7151,0.18188,0.12384,0.026757,0.9923,0.82869,0.46372,0.13866,0.0093728,-0.0003242,-0.0053004,-9.5198e-05,0.6944,1.3888,2.1704,0.059362,0.6944,0.11993,0.71959,0.24387,0.0044514,0.00014231,2.5962e-05,-1.4759e-09,-1.2074e-06,5.5852e-10,0.2776,0.5552,1.9327,0.1826,0.2776,0.042694,0.9607,0.80292,0.021914,0.59458,0.39573,0.16497,0.0097677,-0.098147,0.28543,0.57086,1.1377,0.15919,0.28543,0.025843,0.9584,0.83255,0.50001,0.14491,0.019993,-0.0004703,-0.010699,0.00096792,0.48629,0.97257,0.1327,0.0055579,0.48629,0.005135,0.8738,3.3468,3.647,13.734,4.0802,30.476,7.5768,2.0345,0.18142,0.36283,0.20438,0.0077669,0.18142,0.0029505,0.98341,6.5122,18.331,198.07,18.354,57.295,24.297,1105.1,0.91563,1.8313,0.23463,0.035397,0.91563,0.017096,0.40203,2.1393,0.035374,0.033589,0.19103,-0.0094709,0.033596,0.012018,0.27076,0.54152,0.34651,0.015116,0.27076,0.007466,0.96265,3.6167,0.69329,35.049,13.382,280.46,-0.67133,-72.965,0.31779,0.63557,0.1303,0.022636,0.31779,0.0032951,0.94816,3.5265,7.5967,16.012,2.1887,-10.707,-4.8168,-7.2967,1111
7,0.32609,0.65219,1.4364,0.037514,0.32609,0.037275,0.94534,0.58885,0.22598,0.062992,0.013315,0.00037478,0.0062426,-9.0696e-05,0.13836,0.27673,2.3291,0.18508,0.13836,0.025645,0.99038,0.77757,0.50005,0.065601,0.023453,0.00090029,0.016531,-0.00018913,0.73526,1.4705,2.631,0.11537,0.73526,0.15394,0.67778,0.19907,0.0034779,4.241e-06,4.0594e-05,-4.045e-10,-2.0338e-06,3.4653e-10,0.38303,0.76607,1.2527,0.11511,0.38303,0.038184,0.92373,0.59669,0.19715,0.072474,0.012451,-0.00014813,-0.0029612,0.00034345,0.23797,0.47594,1.2347,0.14629,0.23797,0.023381,0.97127,0.89764,0.64195,0.16313,0.021333,-0.00061326,-0.012077,0.0010989,0.39004,0.78009,0.12616,0.0057079,0.39004,0.0039158,0.9208,4.8919,13.25,36.284,10.934,216.69,39.414,21.612,0.19574,0.39148,0.16134,0.0065978,0.19574,0.0025131,0.98066,5.7038,22.826,55.357,20.107,667.45,93.765,-67.172,0.86204,1.7241,0.19299,0.034134,0.86204,0.013239,0.50684,2.6194,0.14901,1.4821,0.57693,0.53316,0.109,-0.018512,0.42729,0.85458,0.22661,0.014128,0.42729,0.0077053,0.90412,2.243,1.8116,3.051,0.44096,-0.31441,-0.39894,0.40343,0.2318,0.46359,0.18205,0.018328,0.2318,0.003358,0.97276,3.5244,8.9941,13.138,3.1458,12.067,1.1778,16.229,1111
8,0.36878,0.73756,1.2722,0.030327,0.36878,0.037336,0.92952,0.60167,0.20675,0.097154,0.01512,0.00057947,0.0068748,-3.1252e-06,0.21921,0.43842,1.5551,0.12351,0.21921,0.027128,0.97568,0.768,0.48656,0.10548,0.054373,0.0039846,0.035451,0.0010384,0.77434,1.5487,2.2684,0.057758,0.77434,0.13978,0.63277,0.22987,0.0029764,0.00031103,0.00018629,4.3085e-08,1.8432e-06,-1.2431e-08,0.28598,0.57196,1.2607,0.17972,0.28598,0.028691,0.95824,0.75012,0.40539,0.11962,0.016394,-0.00034726,-0.0071642,-0.00063752,0.26156,0.52312,1.3214,0.085759,0.26156,0.027504,0.96519,0.77312,0.45453,0.075525,0.023137,0.00066463,0.0056122,-0.00070267,0.49057,0.98114,0.12599,0.0046999,0.49057,0.0049185,0.8714,4.1407,6.4917,26.397,4.2141,42.825,10.506,11.899,0.32622,0.65245,0.11217,0.0046299,0.32622,0.0029118,0.94529,6.4077,26.572,105.91,35.558,1959.2,156.6,960.68,0.63957,1.2791,0.21023,0.016101,0.63957,0.0107,0.76873,2.6198,1.2073,0.75749,0.8025,0.50048,0.88151,-0.37551,0.26828,0.53657,0.13218,0.020572,0.26828,0.0028219,0.96334,4.0173,10.178,19.35,2.8525,-7.8477,-5.5528,-19.686,0.28058,0.56116,0.2118,0.0146,0.28058,0.0047291,0.95983,2.9009,5.2742,3.0699,1.2225,2.0074,2.1427,-1.2566,1111
9,0.48292,0.96584,1.2752,0.038378,0.48292,0.049004,0.87566,0.4992,0.095279,0.12233,0.052001,0.0040289,0.015798,-0.00098481,0.24409,0.48818,1.3661,0.14172,0.24409,0.026535,0.96975,0.87806,0.61518,0.055563,0.051609,0.0027636,0.03562,-1.5967e-05,0.88021,1.7604,1.9523,0.056877,0.88021,0.13675,0.47459,0.25884,0.00098869,0.0030426,0.000159,-1.0951e-07,4.2992e-06,-1.5412e-08,0.29864,0.59727,2.0229,0.29733,0.29864,0.048073,0.95437,2.511,4.2034,45.419,37.586,1550.2,76.647,-92.032,0.37531,0.75063,2.1972,0.36665,0.37531,0.065622,0.9269,0.39801,0.036019,0.035504,0.027789,-0.0008722,0.00051392,-3.3818e-05,0.59947,1.1989,0.1677,0.0071662,0.59947,0.008,0.80039,2.5571,1.3054,9.0506,2.507,11.932,2.8643,0.49825,0.27408,0.54816,0.22247,0.0083913,0.27408,0.0048523,0.96171,4.3876,14.458,3.7406,1.4675,3.4384,5.5789,0.013273,0.82721,1.6544,0.28544,0.037493,0.82721,0.018789,0.5619,1.7833,0.11175,0.23044,0.055922,-0.0063294,0.018619,-0.0004888,0.36882,0.73764,0.50549,0.042919,0.36882,0.014836,0.9295,5.9562,25.089,238.37,164.59,32509,805.45,-2461.4,0.40596,0.81192,0.36157,0.030512,0.40596,0.011681,0.91389,2.5219,0.33809,13.453,5.4715,42.047,-2.9583,-20.875,1111
10,0.40806,0.81612,1.599,0.047566,0.40806,0.051923,0.91295,0.44404,0.097151,0.06842,0.032943,0.0015373,0.010021,-0.0002878,0.14774,0.29548,2.3805,0.2301,0.14774,0.027987,0.98903,0.75938,0.43545,0.045054,0.0026958,2.7366e-06,0.00060619,2.9583e-05,0.7745,1.549,2.3566,0.067158,0.7745,0.14524,0.63257,0.22235,0.0022373,0.00038403,2.9879e-05,-1.3206e-09,3.004e-07,-2.9155e-09,0.29164,0.58328,2.2713,0.31297,0.29164,0.052713,0.95653,0.43831,0.089485,0.057904,0.033578,0.00026576,0.0069387,0.0014566,0.2917,0.58339,2.1155,0.28884,0.2917,0.049106,0.95651,0.47265,0.10585,0.08481,0.05935,0.00052726,0.013103,-0.0041776,0.53247,1.0649,0.16185,0.0074358,0.53247,0.0068579,0.84645,2.9289,2.536,6.8425,1.1858,3.0832,1.8437,1.3794,0.10041,0.20081,0.35727,0.020822,0.10041,0.0028546,0.99495,3.3782,4.5046,25.791,1.656,-2.6268,-0.095373,10.499,0.92023,1.8405,0.23752,0.15607,0.92023,0.017393,0.39139,2.1124,0.030699,0.038905,0.34318,0.014064,0.046512,0.037076,0.34578,0.69156,0.40372,0.027127,0.34578,0.011109,0.93832,2.1614,1.3818,4.0001,0.73016,-0.48026,-0.82954,-1.1517,0.30319,0.60639,0.43684,0.028503,0.30319,0.01054,0.95293,2.5445,1.0872,10.334,5.3295,38.869,-3.6925,-7.3143,1111
